#,Latency steering,Period steering,Latency velocity,Period velocity
1,-1,-1,25374464,52611220
2,28656128,52829700,-1,-1
3,-1,-1,25537280,163802915
4,28722944,163706891,-1,-1
5,-1,-1,22542592,69755183
6,25704448,69731257,-1,-1
7,-1,-1,18556160,156619106
8,21744896,156645948,-1,-1
9,-1,-1,25582080,58944360
10,31632896,61806702,-1,-1
11,-1,-1,23462656,167461694
12,26637824,164586567,-1,-1
13,-1,-1,17372928,50780842
14,20606208,50839089,-1,-1
15,-1,-1,24393472,170701929
16,27590400,170665323,-1,-1
17,-1,-1,19354624,52785063
18,22578176,52811760,-1,-1
19,-1,-1,26855936,168115358
20,29568768,167604488,-1,-1
21,-1,-1,27392256,61433865
22,30589952,61918786,-1,-1
23,-1,-1,29356032,161574936
24,32589056,161610112,-1,-1
25,-1,-1,25442816,80945959
26,28627968,80898274,-1,-1
27,-1,-1,28397568,145567054
28,34591232,148575592,-1,-1
29,-1,-1,16469504,52868747
30,19697408,49903066,-1,-1
31,-1,-1,28361984,165497411
32,31496960,165404645,-1,-1
33,-1,-1,25410560,72790517
34,28690176,72935131,-1,-1
35,-1,-1,25494784,164571905
36,28694528,164491413,-1,-1
37,-1,-1,25440512,51872569
38,28641280,51873701,-1,-1
39,-1,-1,26986240,156504925
40,30165504,156484276,-1,-1
41,-1,-1,28353280,82668538
42,31675392,82810774,-1,-1
43,-1,-1,25436416,154645202
44,28615168,154501976,-1,-1
45,-1,-1,14970368,48324474
46,18860544,49035574,-1,-1
47,-1,-1,26076672,182074466
48,29280768,181388202,-1,-1
49,-1,-1,25401088,49696449
50,28682752,49774192,-1,-1
51,-1,-1,25440256,174651211
52,28701696,174630987,-1,-1
53,-1,-1,25400832,54813103
54,28635904,54786250,-1,-1
55,-1,-1,10414848,144547980
56,13628928,144526578,-1,-1
57,-1,-1,25567488,87904613
58,28631552,87754311,-1,-1
59,-1,-1,25425152,158473393
60,31666944,161651987,-1,-1
61,-1,-1,26433024,62904197
62,29633280,59862186,-1,-1
63,-1,-1,25413120,148427535
64,29645056,149459487,-1,-1
65,-1,-1,25934080,62929048
66,29134848,61897776,-1,-1
67,-1,-1,8377088,156435831
68,11652096,156510548,-1,-1
69,-1,-1,25889792,82767005
70,29148672,82750703,-1,-1
71,-1,-1,25445632,151711529
72,31684352,154691157,-1,-1
73,-1,-1,25506304,61895178
74,31644416,61794244,-1,-1
75,-1,-1,25395712,153503875
76,28636160,150606725,-1,-1
77,-1,-1,25592832,77954080
78,31659264,80779494,-1,-1
79,-1,-1,27451648,146478725
80,30632192,143592931,-1,-1
81,-1,-1,28593664,85643902
82,31913984,85783813,-1,-1
83,-1,-1,28491776,155641079
84,31659776,155488957,-1,-1
85,-1,-1,22421504,56809730
86,25642240,56862499,-1,-1
87,-1,-1,22484736,153585073
88,25668352,153547773,-1,-1
89,-1,-1,22383360,56751180
90,25636864,56821450,-1,-1
91,-1,-1,25429248,179512240
92,28697344,179526966,-1,-1
93,-1,-1,25377024,56847097
94,28643072,56845500,-1,-1
95,-1,-1,25582848,164692845
96,28773376,164616632,-1,-1
97,-1,-1,25403648,56694632
98,28645376,56745820,-1,-1
99,-1,-1,10465536,149685185
100,13640448,149618230,-1,-1
101,-1,-1,25396992,76693635
102,28570624,76692268,-1,-1
103,-1,-1,25945600,143806138
104,29049344,143737490,-1,-1
105,-1,-1,28448000,81735571
106,31636224,81819487,-1,-1
107,-1,-1,26531840,159579868
108,29727232,159586802,-1,-1
109,-1,-1,19897344,53738479
110,23101440,53747239,-1,-1
111,-1,-1,24480256,166702096
112,27667968,166685854,-1,-1
113,-1,-1,22450432,55835661
114,25637120,55834776,-1,-1
115,-1,-1,25408768,173495007
116,31596288,176495061,-1,-1
