#,Latency steering,Period steering,Latency velocity,Period velocity
1,-1,-1,1733238010310149376,155834206
2,-1,-1,1733238010370885376,110735650
3,32611840,112313571,-1,-1
4,-1,-1,1733238010407175424,136289974
5,32797696,134832643,-1,-1
6,-1,-1,1733238010443092992,35917115
7,31073024,36107953,-1,-1
8,-1,-1,1733238010480835584,87742597
9,32865792,87668899,-1,-1
10,-1,-1,1733238010548301824,167466162
11,31945472,167580610,-1,-1
12,-1,-1,1733238010616070912,167768822
13,31827712,167371037,-1,-1
14,-1,-1,1733238010635531520,119460433
15,19432704,118777607,-1,-1
16,-1,-1,1733238010678348032,92816350
17,31763200,93646808,-1,-1
18,-1,-1,1733238010714987008,36638963
19,31020032,36023328,-1,-1
20,-1,-1,1733238010757667584,142679959
21,31850752,142443066,-1,-1
22,-1,-1,1733238010795965440,38297709
23,34357504,39895874,-1,-1
24,-1,-1,1733238010880051968,184086220
25,31793408,183434094,-1,-1
26,-1,-1,1733238010887038720,56987012
27,31180544,57265262,-1,-1
28,-1,-1,1733238010932613120,145574065
29,19980800,145306180,-1,-1
30,-1,-1,1733238010968469248,35856208
31,32087296,36975505,-1,-1
32,-1,-1,1733238011029101056,160631585
33,37127168,159171691,-1,-1
34,-1,-1,1733238011072366848,143265634
35,19750144,144417895,-1,-1
36,-1,-1,1733238011156990720,184623686
37,22815744,183718119,-1,-1
38,-1,-1,1733238011221729792,64738936
39,32169472,65246957,-1,-1
40,-1,-1,1733238011266297600,144567672
41,30951424,144278648,-1,-1
42,-1,-1,1733238011339730944,173433060
43,30967808,173394387,-1,-1
44,-1,-1,1733238011378571776,38840605
45,36857344,41767921,-1,-1
46,-1,-1,1733238011415068672,136496850
47,30760448,133543501,-1,-1
48,-1,-1,1733238011471510272,156441660
49,30810624,156398964,-1,-1
50,-1,-1,1733238011508107264,36596390
51,32907264,37984504,-1,-1
52,-1,-1,1733238011554350336,146243016
53,31851264,144581769,-1,-1
54,-1,-1,1733238011640632576,186282101
55,31858432,186473087,-1,-1
56,-1,-1,1733238011703996928,213364030
57,31945984,214466196,-1,-1
58,-1,-1,1733238011761409024,157412083
59,30748416,156314418,-1,-1
60,-1,-1,1733238011829161728,167752519
61,33788928,167651093,-1,-1
62,-1,-1,1733238011868814336,89652503
63,32834048,89786230,-1,-1
64,-1,-1,1733238011913637632,94823050
65,31142912,95070169,-1,-1
66,-1,-1,1733238011982193920,168556313
67,30908416,168276810,-1,-1
68,-1,-1,1733238012060536064,178341787
69,30884608,175460238,-1,-1
70,-1,-1,1733238012108022016,147485858
71,32754432,150357189,-1,-1
72,-1,-1,1733238012144104192,36082010
73,34546688,39788900,-1,-1
74,-1,-1,1733238012200489728,156385307
75,35205888,154162438,-1,-1
76,-1,-1,1733238012229226240,128736442
77,30814208,127229112,-1,-1
78,-1,-1,1733238012265391360,36164970
79,30889728,35962693,-1,-1
80,-1,-1,1733238012293639936,128248392
81,30757888,128481504,-1,-1
82,-1,-1,1733238012329575168,35935011
83,31194112,36305868,-1,-1
84,-1,-1,1733238012383261440,153686183
85,31811328,153280515,-1,-1
86,-1,-1,1733238012423862528,140600958
87,31013632,140780855,-1,-1
88,-1,-1,1733238012461112064,37249298
89,32035584,36907949,-1,-1
90,-1,-1,1733238012490305024,129192781
91,30878208,129458385,-1,-1
92,-1,-1,1733238012526210816,35905596
93,32241920,37241398,-1,-1
94,-1,-1,1733238012565837312,139626305
95,30756096,138137969,-1,-1
96,-1,-1,1733238012604499712,38662407
97,33884672,39008712,-1,-1
98,-1,-1,1733238012654116864,149616759
99,34637056,153259160,-1,-1
100,-1,-1,1733238012698645760,144529222
101,31859968,140710253,-1,-1
102,-1,-1,1733238012735652608,37006746
103,32207360,37317415,-1,-1
104,-1,-1,1733238012785184512,149531770
105,30648576,148970258,-1,-1
106,-1,-1,1733238012834723584,99538565
107,33938688,102912716,-1,-1
108,-1,-1,1733238012887485696,152761977
109,30726912,149280184,-1,-1
110,-1,-1,1733238012972184576,284698871
111,32787968,285052622,-1,-1
112,-1,-1,1733238013017097984,144913236
113,19544832,144771390,-1,-1
114,-1,-1,1733238013071434752,154336781
115,19888128,154859213,-1,-1
116,-1,-1,1733238013108609024,37173862
117,31913216,36378377,-1,-1
118,-1,-1,1733238013134049280,125440422
119,22468352,125725676,-1,-1
120,-1,-1,1733238013169677312,35627742
121,34116864,38972177,-1,-1
122,-1,-1,1733238013205115392,135437620
123,19265536,132149023,-1,-1
124,-1,-1,1733238013243198208,38082718
125,34299136,39390359,-1,-1
126,-1,-1,1733238013255288064,112089570
127,19513344,110360624,-1,-1
128,-1,-1,1733238013291666432,36378280
129,31843328,36711868,-1,-1
130,-1,-1,1733238013326156288,134489847
131,32937984,134694413,-1,-1
132,-1,-1,1733238013315001600,38845356
133,33310208,38711558,-1,-1
134,-1,-1,1733238013404701184,139699443
135,31864576,139609608,-1,-1
136,-1,-1,1733238013522342912,367641393
137,30756608,367744386,-1,-1
138,-1,-1,1733238013586821888,164478909
139,32747008,164487632,-1,-1
140,-1,-1,1733238013623373824,36551841
141,31189248,36337399,-1,-1
142,-1,-1,1733238013658318848,134944607
143,30799616,135213584,-1,-1
144,-1,-1,1733238013695258624,36939622
145,32570368,37642195,-1,-1
146,-1,-1,1733238013727852032,132593399
147,32802048,131862310,-1,-1
148,-1,-1,1733238013764820736,36968469
149,31866880,36930892,-1,-1
150,-1,-1,1733238013825460480,160639657
151,35803392,164429227,-1,-1
152,-1,-1,1733238013861122560,85661762
153,31010816,81973364,-1,-1
154,-1,-1,1733238013916307200,155184402
155,32681728,154622183,-1,-1
156,-1,-1,1733238013980139264,163831933
157,31895552,165243670,-1,-1
158,-1,-1,1733238014018579456,138440081
159,33507840,137735623,-1,-1
160,-1,-1,1733238014057450240,38870663
161,36803328,41717935,-1,-1
162,-1,-1,1733238014101140992,143690485
163,31920128,141690345,-1,-1
164,-1,-1,1733238014174309632,223168505
165,31796992,220377825,-1,-1
166,-1,-1,1733238014198080000,123770323
167,30833408,125537819,-1,-1
168,-1,-1,1733238014237853184,39773098
169,32391424,37447107,-1,-1
170,-1,-1,1733238014256848128,118994773
171,31702784,121046160,-1,-1
172,-1,-1,1733238014343909632,237061227
173,32952832,237487141,-1,-1
174,-1,-1,1733238014378658816,134749032
175,21195264,134440495,-1,-1
176,-1,-1,1733238014415497984,36839129
177,31879168,36995197,-1,-1
178,-1,-1,1733238014452348160,136849859
179,35858432,136636332,-1,-1
180,-1,-1,1733238014491954176,89606144
181,30724096,89579592,-1,-1
182,-1,-1,1733238014526443008,134488418
183,30946048,134724669,-1,-1
184,-1,-1,1733238014564390656,37947365
185,34041600,39079448,-1,-1
186,-1,-1,1733238014609427456,145036953
187,33975808,146559145,-1,-1
188,-1,-1,1733238014675135744,165707735
189,34858752,162396031,-1,-1
190,-1,-1,1733238014705133056,129997372
191,30803200,130554651,-1,-1
192,-1,-1,1733238014740986880,35853549
193,30897920,35964031,-1,-1
194,-1,-1,1733238014758484736,117497536
195,29774848,116501353,-1,-1
196,-1,-1,1733238014795001600,36516926
197,42782720,47891700,-1,-1
198,-1,-1,1733238014846156544,151154984
199,34936576,143772609,-1,-1
200,-1,-1,1733238014863284992,117127972
201,30793728,113482882,-1,-1
202,-1,-1,1733238014900037632,36752690
203,30909440,35987810,-1,-1
204,-1,-1,1733238014921271040,121233326
205,30796544,122503332,-1,-1
206,-1,-1,1733238014957242880,35971525
207,36854272,41942776,-1,-1
208,-1,-1,1733238014997792256,140549098
209,31380480,135160952,-1,-1
210,-1,-1,1733238015030298880,132506593
211,32807424,132055684,-1,-1
212,-1,-1,1733238015068232448,37933377
213,32762624,37902247,-1,-1
214,-1,-1,1733238015097880832,129648151
215,31810304,129581366,-1,-1
216,-1,-1,1733238015134813696,36932695
217,35991296,41053300,-1,-1
218,-1,-1,1733238015192302592,207488669
219,37340672,203220042,-1,-1
220,-1,-1,1733238015251641856,159339015
221,33534464,160184345,-1,-1
222,-1,-1,1733238015235428352,33786432
223,30880256,36237881,-1,-1
224,-1,-1,1733238015305065472,119636903
225,31485696,116717117,-1,-1
226,-1,-1,1733238015292917248,37851737
227,32289536,37686202,-1,-1
228,-1,-1,1733238015396519680,153602179
229,33709056,155408083,-1,-1
230,-1,-1,1733238015477901568,231381913
231,35117312,232775343,-1,-1
232,-1,-1,1733238015495383552,117481785
233,32786176,114300675,-1,-1
234,-1,-1,1733238015531270400,35886501
235,33154560,38238875,-1,-1
236,-1,-1,1733238015547046400,115775804
237,30777344,113259595,-1,-1
238,-1,-1,1733238015584031744,36985452
239,34088960,39368656,-1,-1
240,-1,-1,1733238015640382720,206350231
241,31000064,204323928,-1,-1
242,-1,-1,1733238015683737600,143354798
243,32912896,143292577,-1,-1
244,-1,-1,1733238015720919296,37181553
245,32604416,37817408,-1,-1
246,-1,-1,1733238015742142976,171223677
247,33251072,170436300,-1,-1
248,-1,-1,1733238015829350656,137207327
249,33990912,136823905,-1,-1
250,-1,-1,1733238015858449408,129098528
251,33390080,129543058,-1,-1
252,-1,-1,1733238015839346176,30896915
253,28894208,33870377,-1,-1
254,-1,-1,1733238015913937408,124591022
255,34317824,121534179,-1,-1
256,-1,-1,1733238015929836800,65899639
257,31821568,65878139,-1,-1
258,-1,-1,1733238015968610816,38773342
259,34532608,39589506,-1,-1
260,-1,-1,1733238016029100544,210489652
261,32737024,209593171,-1,-1
262,-1,-1,1733238016104520960,175420061
263,31231232,175566469,-1,-1
264,-1,-1,1733238016086434560,31913526
265,27035904,31961088,-1,-1
266,-1,-1,1733238016150086912,113652152
267,19770368,113558910,-1,-1
268,-1,-1,1733238016183793920,83706856
269,30761984,83658989,-1,-1
270,-1,-1,1733238016220670720,36876841
271,32194304,37305789,-1,-1
272,-1,-1,1733238016210392832,89721990
273,33663232,89376589,-1,-1
274,-1,-1,1733238016279086336,118693039
275,30890240,118701631,-1,-1
276,-1,-1,1733238016265052160,35965825
277,30814976,35808549,-1,-1
278,-1,-1,1733238016326672128,111619723
279,30927616,111846224,-1,-1
280,-1,-1,1733238016376935936,150263535
281,33462272,149654483,-1,-1
282,-1,-1,1733238016365112576,38176676
283,33764096,38703783,-1,-1
284,-1,-1,1733238016429963520,114850793
285,31185920,114913335,-1,-1
286,-1,-1,1733238016418746112,38782452
287,33798144,38738870,-1,-1
288,-1,-1,1733238016487352320,118605970
289,34427904,118739790,-1,-1
290,-1,-1,1733238016479239168,41886789
291,36808192,41752179,-1,-1
292,-1,-1,1733238016543997952,114758591
293,30876672,114811679,-1,-1
294,-1,-1,1733238016533897984,39899987
295,37010688,42042762,-1,-1
296,-1,-1,1733238016603450624,119552399
297,34643456,118218333,-1,-1
298,-1,-1,1733238016643427840,39977146
299,32841728,39078243,-1,-1
300,-1,-1,1733238016694311936,150883851
301,32700160,151498883,-1,-1
302,-1,-1,1733238016732061696,137749479
303,33836288,137621118,-1,-1
304,-1,-1,1733238016771136768,139075055
305,32823296,138615276,-1,-1
306,-1,-1,1733238016809186304,38049188
307,39226368,44267731,-1,-1
308,-1,-1,1733238016863904000,154718162
309,31780096,149178667,-1,-1
310,-1,-1,1733238016964455424,350550796
311,30297856,348884424,-1,-1
312,-1,-1,1733238017004459008,90003405
313,33158144,90738102,-1,-1
314,-1,-1,1733238017068767744,164308608
315,32807168,164639749,-1,-1
316,-1,-1,1733238017112609024,143841071
317,19352320,143678349,-1,-1
318,-1,-1,1733238017150227456,37618265
319,33424128,38439174,-1,-1
320,-1,-1,1733238017199143424,148915808
321,32801280,148028096,-1,-1
322,-1,-1,1733238017180875264,31731864
323,29859840,34916499,-1,-1
324,-1,-1,1733238017247588352,116712711
325,30775296,113746804,-1,-1
326,-1,-1,1733238017234555904,36967542
327,31752704,36763730,-1,-1
328,-1,-1,1733238017330164992,145608829
329,33959168,145817254,-1,-1
330,-1,-1,1733238017381740800,151575561
331,39608064,157347391,-1,-1
332,-1,-1,1733238017390196992,158456440
333,16370432,152714481,-1,-1
334,-1,-1,1733238017427152384,36955128
335,30394624,35889318,-1,-1
336,-1,-1,1733238017488810240,161657717
337,31386880,163107815,-1,-1
338,-1,-1,1733238017537176832,148366282
339,29834752,146934901,-1,-1
340,-1,-1,1733238017574611968,37435072
341,43841024,48893102,-1,-1
342,-1,-1,1733238017618610688,193998656
343,33187328,183839533,-1,-1
344,-1,-1,1733238017664376320,95765288
345,31839488,95403218,-1,-1
346,-1,-1,1733238017680933376,116556946
347,32762880,116563000,-1,-1
348,-1,-1,1733238017717286400,36353101
349,32638464,37714948,-1,-1
350,-1,-1,1733238017764468736,147182044
351,31750656,145865318,-1,-1
352,-1,-1,1733238017783042560,168573598
353,32154880,180917191,-1,-1
