#,Latency steering,Period steering,Latency velocity,Period velocity
1,-1,-1,1733414916143526656,36673906
2,33104640,37943861,-1,-1
3,-1,-1,1733414916218345728,174818666
4,32601600,175344574,-1,-1
5,-1,-1,1733414916252808192,134462397
6,31464704,132932963,-1,-1
7,-1,-1,1733414916292361472,189553118
8,27426048,202600167,-1,-1
9,-1,-1,1733414916318299392,75937658
10,30850816,62742538,-1,-1
11,-1,-1,1733414916419982336,151682666
12,33089792,151917343,-1,-1
13,-1,-1,1733414916479010560,159028085
14,33031680,160715576,-1,-1
15,-1,-1,1733414916551362048,172351404
16,33839360,172329167,-1,-1
17,-1,-1,1733414916618935808,167573156
18,32793088,165586769,-1,-1
19,-1,-1,1733414916674511104,155575425
20,36771840,155654565,-1,-1
21,-1,-1,1733414916702383360,127872093
22,31028736,127949188,-1,-1
23,-1,-1,1733414916781546752,179163096
24,35016192,178613876,-1,-1
25,-1,-1,1733414916762283776,30736967
26,18820864,31132784,-1,-1
27,-1,-1,1733414916858302464,196018329
28,31133952,196476737,-1,-1
29,-1,-1,1733414916899777024,191474570
30,25755136,203146964,-1,-1
31,-1,-1,1733414916975665408,75888134
32,33822720,65798655,-1,-1
33,-1,-1,1733414917045126144,169460673
34,35163136,168072481,-1,-1
35,-1,-1,1733414917098302976,153176713
36,32728832,154249716,-1,-1
37,-1,-1,1733414917150478336,152175224
38,35666432,150380337,-1,-1
39,-1,-1,1733414917170808320,120329794
40,31129344,120124729,-1,-1
41,-1,-1,1733414917241931264,171122885
42,32299264,172764583,-1,-1
43,-1,-1,1733414917231558144,39626514
44,32433664,38546264,-1,-1
45,-1,-1,1733414917296595200,115036991
46,31037952,114805436,-1,-1
47,-1,-1,1733414917278304768,31709350
48,26916096,31861848,-1,-1
49,-1,-1,1733414917348216832,119912002
50,31478272,120194179,-1,-1
51,-1,-1,1733414917366805504,68588315
52,30814720,68224508,-1,-1
53,-1,-1,1733414917373530112,106724980
54,32028416,106982689,-1,-1
55,-1,-1,1733414917440645376,117114562
56,32031232,116102861,-1,-1
57,-1,-1,1733414917416153856,25508328
58,21980928,26349906,-1,-1
59,-1,-1,1733414917490275072,124121410
60,31560448,124292219,-1,-1
61,-1,-1,1733414917473884672,33609292
62,28195840,33297798,-1,-1
63,-1,-1,1733414917538624768,114739899
64,30716672,114902099,-1,-1
65,-1,-1,1733414917596276736,107651566
66,32780288,108529305,-1,-1
67,-1,-1,1733414917647363072,201086207
68,32372992,200208840,-1,-1
69,-1,-1,1733414917637817600,40454461
70,15792896,40304143,-1,-1
71,-1,-1,1733414917736755712,248937906
72,30968576,248652276,-1,-1
73,-1,-1,1733414917789101824,152345972
74,31926272,153914596,-1,-1
75,-1,-1,1733414917812869632,73767189
76,31448320,73417968,-1,-1
77,-1,-1,1733414917861464832,148595240
78,31911168,147868589,-1,-1
79,-1,-1,1733414917849387008,37922214
